Date,Time,Open,High,Low,Close,Volume
20211203,1519,30135,30135,30120,30120,476
20211203,1517,30140,30140,30140,30140,2
20211203,1514,30165,30165,30165,30165,3
20211203,1508,30180,30180,30150,30150,134
20211203,1502,30200,30200,30200,30200,1
20211203,1447,30200,30200,30200,30200,36
20211203,1437,30215,30215,30215,30215,16
20211203,1430,30230,30230,30230,30230,30
20211203,1418,30155,30155,30155,30155,20
20211203,1416,30120,30120,30120,30120,3
20211203,1411,30115,30115,30115,30115,2
20211203,1406,30190,30190,30190,30190,8
20211203,1352,30230,30230,30230,30230,47
20211203,1351,30230,30230,30230,30230,4
20211203,1344,30185,30185,30185,30185,2
20211203,1342,30170,30170,30170,30170,1
20211203,1340,30210,30210,30210,30210,18
20211203,1331,30245,30245,30245,30245,12
20211203,1330,30245,30245,30245,30245,106
20211203,1317,30210,30210,30210,30210,20
20211203,1310,30215,30215,30215,30215,3
20211203,1259,30175,30175,30140,30140,81
20211203,1243,30100,30100,30100,30100,10
20211203,1240,30075,30075,30075,30075,335
20211203,1237,30065,30065,30065,30065,24
20211203,1234,30065,30065,30065,30065,6
20211203,1219,30065,30065,30065,30065,45
20211203,1215,30060,30060,30060,30060,3
20211203,1200,30030,30030,30025,30025,60
20211203,1157,30030,30030,30030,30030,9
20211203,1154,30000,30025,30000,30025,255
20211203,1149,29970,29970,29970,29970,3
20211203,1148,29945,29945,29945,29945,3
20211203,1147,29935,29935,29935,29935,30
20211203,1132,29935,29935,29935,29935,25
20211203,1128,29950,29950,29950,29950,5
20211203,1044,29785,29785,29785,29785,25
20211203,1043,29795,29795,29790,29790,4
20211203,1039,29805,29805,29805,29805,8
20211203,1032,29830,29830,29825,29825,4
20211203,1031,29835,29880,29835,29880,5
20211203,1029,29880,29880,29880,29880,17
20211203,1013,29900,29900,29900,29900,11
20211203,1007,29870,29870,29870,29870,3
20211203,1006,29860,29860,29860,29860,72
20211203,1005,29860,29860,29860,29860,3
20211203,939,29835,29835,29835,29835,1
20211203,938,29850,29850,29850,29850,33
20211203,925,29860,29860,29860,29860,25
20211203,902,29970,29970,29945,29945,51
20211202,1530,29945,29945,29945,29945,1
20211202,1520,29945,29945,29945,29945,2
20211202,1519,29910,29910,29890,29890,1359
20211202,1517,29915,29915,29915,29915,12
20211202,1514,29905,29905,29905,29905,1035
20211202,1505,29900,29900,29900,29900,1
20211202,1502,29950,29950,29950,29950,5
20211202,1459,29905,29910,29905,29910,5
20211202,1456,29905,29905,29905,29905,3
20211202,1454,29900,29900,29900,29900,6
20211202,1449,29875,29875,29875,29875,7
20211202,1448,29880,29880,29880,29880,10
20211202,1441,29895,29895,29895,29895,4
20211202,1433,29845,29845,29845,29845,9
20211202,1426,29830,29830,29830,29830,16
20211202,1414,29825,29850,29825,29850,330
20211202,1401,29850,29850,29850,29850,52
20211202,1400,29850,29850,29850,29850,22
